QLD-Oxley,-5.2608646764490885
NSW-Newcastle,-4.9775774871359815
NSW-Macarthur,-0.9126135598426401
NSW-Shortland,-1.213770945357993
ACT-Fenner,-5.134219901936575
VIC-Hotham,-5.347464522624151
QLD-Rankin,-2.7392632233303615
VIC-Gellibrand,-4.203005415850896
NSW-Barton,-5.832288342872751
NSW-Fowler,5.242802929588365
NSW-Hunter,-1.794124000864116
NSW-Cunningham,-4.2190852625635245
NSW-Watson,0.06951466127402028
NSW-McMahon,-1.7127832112842185
VIC-Calwell,3.8401223697571965
NSW-Kingsford Smith,-4.139480413948043
VIC-Scullin,5.011779957866395
WA-Burt,-4.305321587362954
NSW-Whitlam,0.32442890891404375
SA-Port Adelaide,-3.8591055247003823
NSW-Werriwa,-2.214414309774085
VIC-Maribyrnong,-1.4242135864109855
SA-Kingston,-1.7231818894125865
VIC-Holt,1.5236744568520635
WA-Brand,-3.4255590048783233
TAS-Franklin,-4.1957813622412345
NSW-Greenway,-4.079936873064646
NSW-Paterson,-5.463723217574042
VIC-Lalor,-0.07832954204042863
VIC-Corio,-5.895070625540498
