WA,317,Burt,ASP,Shooters, Fishers and Farmers,29393,BLEVIN,Ian,N,N
WA,237,Cowan,ASP,Shooters, Fishers and Farmers,29377,CHESTER,Jamie,N,N
VIC,223,La Trobe,ASP,Shooters, Fishers and Farmers,28225,FENT,David,N,N
NSW,133,Macquarie,ASP,Shooters, Fishers and Farmers,29525,GRIZELJ,Jake,N,N
NT,307,Solomon,ASP,Shooters, Fishers and Farmers,28844,REINHOLD,Marty,N,N
NT,306,Lingiari,ASP,Shooters, Fishers and Farmers,28849,RIGHTON,Chris,N,N
